periodo,regime,nome_regime,ativo,quantidade_meses,peso_medio_estrategia,peso_benchmark,retorno_medio_ativo,contribuicao_estrategia_acumulada_simples,contribuicao_benchmark_acumulada_simples,diferenca_contribuicao_acumulada,contribuicao_media_mensal_estrategia,contribuicao_media_mensal_benchmark,diferenca_contribuicao_media_mensal
TREINO,EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,NG=F,21,8.33%,8.33%,-2.59%,-4.54%,-4.54%,0.00%,-0.22%,-0.22%,0.00%
TREINO,EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,ZC=F,21,8.33%,8.33%,-1.26%,-2.21%,-2.21%,0.00%,-0.11%,-0.11%,0.00%
TREINO,EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,GC=F,21,8.33%,8.33%,1.04%,1.82%,1.82%,-0.00%,0.09%,0.09%,-0.00%
TREINO,EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,USDBRL=X,21,8.33%,8.33%,0.12%,0.21%,0.21%,0.00%,0.01%,0.01%,0.00%
TREINO,EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,EURBRL=X,21,8.33%,8.33%,0.26%,0.46%,0.46%,-0.00%,0.02%,0.02%,-0.00%
TREINO,EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,JPYBRL=X,21,8.33%,8.33%,-0.60%,-1.05%,-1.05%,0.00%,-0.05%,-0.05%,0.00%
TREINO,EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,IMAB11.SA,21,8.33%,8.33%,-0.00%,-0.01%,-0.01%,0.00%,-0.00%,-0.00%,0.00%
TREINO,EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,B5MB11.SA,21,8.33%,8.33%,-0.03%,-0.05%,-0.05%,0.00%,-0.00%,-0.00%,0.00%
TREINO,EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,IB5M11.SA,21,8.33%,8.33%,1.13%,1.97%,1.97%,-0.00%,0.09%,0.09%,-0.00%
TREINO,EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,BOVV11.SA,21,8.33%,8.33%,-0.11%,-0.19%,-0.19%,0.00%,-0.01%,-0.01%,0.00%
TREINO,EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,FIND11.SA,21,8.33%,8.33%,0.25%,0.44%,0.44%,-0.00%,0.02%,0.02%,-0.00%
TREINO,EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,MATB11.SA,21,8.33%,8.33%,-0.09%,-0.16%,-0.16%,0.00%,-0.01%,-0.01%,0.00%
TREINO,EXPANSAO_INFLACIONARIA,Expansão inflacionária,NG=F,17,8.33%,8.33%,1.82%,2.57%,2.57%,-0.00%,0.15%,0.15%,-0.00%
TREINO,EXPANSAO_INFLACIONARIA,Expansão inflacionária,ZC=F,17,8.33%,8.33%,3.16%,4.47%,4.47%,-0.00%,0.26%,0.26%,-0.00%
TREINO,EXPANSAO_INFLACIONARIA,Expansão inflacionária,GC=F,17,8.33%,8.33%,0.63%,0.89%,0.89%,-0.00%,0.05%,0.05%,-0.00%
TREINO,EXPANSAO_INFLACIONARIA,Expansão inflacionária,USDBRL=X,17,8.33%,8.33%,0.33%,0.47%,0.47%,0.00%,0.03%,0.03%,0.00%
TREINO,EXPANSAO_INFLACIONARIA,Expansão inflacionária,EURBRL=X,17,8.33%,8.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
TREINO,EXPANSAO_INFLACIONARIA,Expansão inflacionária,JPYBRL=X,17,8.33%,8.33%,-0.28%,-0.39%,-0.39%,-0.00%,-0.02%,-0.02%,-0.00%
TREINO,EXPANSAO_INFLACIONARIA,Expansão inflacionária,IMAB11.SA,17,8.33%,8.33%,0.19%,0.27%,0.27%,-0.00%,0.02%,0.02%,-0.00%
TREINO,EXPANSAO_INFLACIONARIA,Expansão inflacionária,B5MB11.SA,17,8.33%,8.33%,0.20%,0.28%,0.28%,-0.00%,0.02%,0.02%,-0.00%
TREINO,EXPANSAO_INFLACIONARIA,Expansão inflacionária,IB5M11.SA,17,8.33%,8.33%,-0.14%,-0.20%,-0.20%,0.00%,-0.01%,-0.01%,0.00%
TREINO,EXPANSAO_INFLACIONARIA,Expansão inflacionária,BOVV11.SA,17,8.33%,8.33%,2.42%,3.43%,3.43%,-0.00%,0.20%,0.20%,-0.00%
TREINO,EXPANSAO_INFLACIONARIA,Expansão inflacionária,FIND11.SA,17,8.33%,8.33%,1.86%,2.64%,2.64%,-0.00%,0.16%,0.16%,-0.00%
TREINO,EXPANSAO_INFLACIONARIA,Expansão inflacionária,MATB11.SA,17,8.33%,8.33%,3.67%,5.20%,5.20%,-0.00%,0.31%,0.31%,-0.00%
TREINO,ESTAGFLACAO,Estagflação,NG=F,5,8.33%,8.33%,13.56%,5.65%,5.65%,-0.00%,1.13%,1.13%,-0.00%
TREINO,ESTAGFLACAO,Estagflação,ZC=F,5,8.33%,8.33%,-2.08%,-0.87%,-0.87%,0.00%,-0.17%,-0.17%,0.00%
TREINO,ESTAGFLACAO,Estagflação,GC=F,5,8.33%,8.33%,-1.23%,-0.51%,-0.51%,0.00%,-0.10%,-0.10%,0.00%
TREINO,ESTAGFLACAO,Estagflação,USDBRL=X,5,8.33%,8.33%,1.57%,0.66%,0.66%,-0.00%,0.13%,0.13%,-0.00%
TREINO,ESTAGFLACAO,Estagflação,EURBRL=X,5,8.33%,8.33%,0.75%,0.31%,0.31%,0.00%,0.06%,0.06%,0.00%
