ticker,retorno_total,retorno_anualizado,volatilidade_anualizada,drawdown_maximo,media_retorno_diario,desvio_retorno_diario,melhor_dia,pior_dia,percentual_dias_positivos
B5MB11.SA,28.543154895056034,4.041708292387325,19.65077584658938,-20.97908447263559,0.0229140128159444,1.2378825228464343,28.602279747438253,-20.820305381709737,18.4721352536005
BOVV11.SA,54.84439036618891,7.143226716259421,24.320063760801837,-46.829958890383594,0.03926254647664351,1.5320200138170452,13.97967639087938,-15.019258233050437,51.40889167188478
EURBRL=X,31.147656976831307,4.371548267065428,16.065726675729866,-28.654562846154196,0.022086216550183366,1.0120456527504202,4.953169386566514,-4.323152835841615,47.71446462116468
FIND11.SA,40.38241151186044,5.498269283671475,27.37956925106032,-49.010652121656896,0.03609016236452591,1.7247507438661092,14.104473057077893,-9.448080757675248,50.28177833437696
GC=F,171.53164972122127,17.072549313424744,19.050951290010694,-25.06016525948246,0.06980933612250867,1.2000971274422247,6.083292489183334,-11.366200569716556,55.35378835316218
IB5M11.SA,27.528550017373576,3.9116915684924036,13.824655657530007,-18.894292485301488,0.019037871412543327,0.8708714483553934,10.000002857451197,-10.00000311403858,48.52849092047589
IMAB11.SA,48.566959017450316,6.445821501297311,23.131009094470162,-24.9759056876689,0.03441946369766919,1.4571166104271762,36.16352201257862,-24.975905687668888,21.35253600500939
JPYBRL=X,-12.504395790247457,-2.0858027793107525,19.110429492963533,-43.83447488753773,-0.0011384963894295874,1.2038439020479925,10.118027077921443,-8.564888169528718,48.215403882279276
MATB11.SA,72.83783989983606,9.018053941585947,28.15048942619358,-49.18518537356532,0.05016357211063329,1.7733141501538467,11.91489037047042,-18.965517241379317,50.970569818409516
NG=F,25.683321474199804,3.6729849209726995,80.13511954544946,-83.7293388633306,0.14286145487080132,5.0480380380878715,46.481176972812,-47.479893260066596,50.84533500313086
USDBRL=X,27.271360850416304,3.8785956520160036,16.319021419167083,-22.12063404505201,0.02037819898656608,1.028001721786963,6.209600088872613,-6.034240013874658,50.03130870381967
ZC=F,18.77394636015335,2.752097131554976,27.796296519287857,-55.759242285365076,0.02633070177839498,1.7510020942534752,12.054586808188027,-17.386530014641288,50.53224796493425
