metrica,portfolio_regimes_bruto,portfolio_regimes_liquido,benchmark_estatico_bruto,benchmark_estatico_liquido
quantidade_meses,77.0,77.0,77.0,77.0
retorno_total,0.726933914480786,0.7221657497546323,0.726933914480786,0.7221657497546323
retorno_anualizado,0.08887501831505196,0.08840593415193054,0.08887501831505196,0.08840593415193054
retorno_medio_mensal,0.007403575715785484,0.007367569571626477,0.0074035757157854855,0.007367569571626477
retorno_mediano_mensal,0.005369418196494,0.005353434972780402,0.005369418196494,0.005353434972780402
volatilidade_anualizada,0.0832876742031145,0.08330980563739532,0.08328767420311452,0.08330980563739532
desvio_negativo_anualizado,0.044287481529581,0.04434453973250714,0.044287481529581,0.04434453973250714
retorno_sobre_volatilidade,1.0670848857936834,1.061170812673793,1.0670848857936832,1.061170812673793
sharpe_excesso_cdi,-0.10085447761358411,-0.1058224318297662,-0.10085447761358411,-0.1058224318297662
sortino_alvo_zero,2.006775170895404,1.9936148776198441,2.006775170895404,1.9936148776198441
maximo_drawdown,-0.08837739697423752,-0.08933046633128816,-0.08837739697423752,-0.08933046633128816
calmar,1.0056306403882826,0.9896504270342782,1.0056306403882826,0.9896504270342782
meses_positivos,0.6103896103896104,0.6103896103896104,0.6103896103896104,0.6103896103896104
melhor_mes,0.086845861271291,0.08682466700421876,0.086845861271291,0.08682466700421876
pior_mes,-0.0635990150083059,-0.0636215268498781,-0.0635990150083059,-0.0636215268498781
var_historico_95%,-0.024487116137227694,-0.024500570836923845,-0.024487116137227694,-0.024500570836923845
cvar_historico_95%,-0.04420414059121695,-0.04422629193684485,-0.04420414059121695,-0.04422629193684485
